Name,Class,Rating,Total Rater,Facility,Price,Area
The Luxton Hotel Bandung,4-star hotel,4.4,"(4,036)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 995,037",Bandung
Marbella Hotel Suite Bandung,4-star hotel,4.2,"(3,625)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,017,530",Bandung
Grand Aquilla Hotel,4-star hotel,4.4,"(1,559)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 667,759",Bandung
Sensa Hotel,4-star hotel,4.5,"(3,538)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 775,365",Bandung
Best Western Premier La Grande,4-star hotel,4.5,"(6,356)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 994,681",Bandung
Four Points by Sheraton Bandung,4-star hotel,4.6,"(5,055)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 2,075,045",Bandung
Galeri Ciumbuleuit Hotel,4-star hotel,4.4,"(4,550)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 543,504",Bandung
Gino Feruci Kebonjati Hotel,4-star hotel,4,"(2,090)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Indoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 498,200",Bandung
Sari Ater Kamboti Bandung,4-star hotel,4.6,(795),"['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 399,763",Bandung
Golden Flower Hotel,4-star hotel,4.2,"(4,484)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 442,162",Bandung
Novena Hotel,4-star hotel,4.3,"(2,094)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 335,403",Bandung
Blackbird Hotel,4-star hotel,4.5,(893),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Bandung
Maison Teraskita Hotel Bandung,4-star hotel,4.5,(419),"['Free Wi-Fi', 'Free parking', 'Pool', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Accessible']","IDR 620,000",Bandung
Grand Dafam Braga Bandung,4-star hotel,4.5,(416),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 614,770",Bandung
RedDoorz Premium,4-star hotel,4.2,(693),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 400,270",Bandung
Asmila Boutique Hotel,4-star hotel,4.3,(791),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 436,280",Bandung
ASTON Tropicana,4-star hotel,4.5,"(6,507)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']",0,Bandung
Geulis Boutique Hotel & Cafe Bandung,4-star hotel,4.5,(645),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']",0,Bandung
Bumi Semilir Hotel and Resto,4-star hotel,4.4,(252),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 429,880",Bandung
Beverly Dago Apartment,4-star hotel,3.8,(62),"['Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Room service', 'Kitchen in rooms', 'Full-service laundry']","IDR 394,793",Bandung
Kencana Villa Dago,4-star hotel,4.5,(180),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Kitchen in rooms', 'Child-friendly']",0,Bandung
Bumi Sangkuriang,4-star hotel,4.5,"(3,644)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Child-friendly']",0,Bandung
GRAND SERITI HOTEL,4-star hotel,4.6,(16),"['Free Wi-Fi', 'Pool', 'Fitness centre', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Bandung City Center,4-star hotel,4.3,(194),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Bandung
villa bukit dago bandung,4-star hotel,4.4,(92),"['Free parking', 'Air conditioning', 'Child-friendly']",0,Bandung
Villa gamma 2 syariah,4-star hotel,3.9,(8),['Child-friendly'],0,Bandung
