Nama,Class,Rating,Total Rater,Facility,Price
Park Regis Arion,4-star hotel,4.3,"(2,302)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 455,394"
Ashley Wahid Hasyim Jakarta,4-star hotel,4.5,"(4,664)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Airport shuttle']","IDR 669,865"
All Sedayu Hotel Kelapa Gading,4-star hotel,4.4,"(2,341)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 600,569"
Harper MT. Haryono,4-star hotel,4.6,"(9,152)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 541,437"
Grand Orchardz Kemayoran,4-star hotel,4.6,"(2,394)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 568,800"
Veranda Hotel at Pakubuwono,4-star hotel,4.4,"(5,940)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 593,723"
Hotel Bidakara Jakarta,4-star hotel,4.5,"(6,787)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 509,670"
"Holiday Inn Jakarta Kemayoran, an IHG Hotel",4-star hotel,4.6,"(7,133)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,218,123"
Sutasoma Hotel,4-star hotel,4.7,(296),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 750,000"
Ra Premiere Simatupang,4-star hotel,4.5,(486),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant']","IDR 629,381"
Swiss-Belhotel Airport Jakarta,4-star hotel,4.4,"(5,236)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 475,000"
YUAN GARDEN Pasar Baru,4-star hotel,4.5,"(2,561)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 431,210"
Ascott Jakarta,4-star hotel,4.6,"(4,830)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Spa']","IDR 2,269,556"
PSW Antasari Hotel,4-star hotel,4.6,(880),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 558,976"
Aloft Jakarta Wahid Hasyim,4-star hotel,4.5,"(2,471)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Pools', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 1,127,605"
Grand Cempaka Business Hotel,4-star hotel,4.3,"(5,207)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 499,579"
The Gunawarman,4-star hotel,4.5,(637),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 2,083,871"
