No,Nama,Rating,Jumlah Rating,Fasilitas,Harga
46,Oakwood Suites La Maison Jakarta,4.6,(145),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Kitchen in rooms']","IDR 1,942,604"
47,Fraser Residence Menteng Jakarta,4.6,"(2,240)","['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Pet-friendly', 'Fitness centre']","IDR 1,193,437"
48,"The Hermitage, a Tribute Portfolio Hotel, Jakarta",4.6,"(3,784)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,354,077"
49,Fraser Residence Sudirman,4.6,"(1,506)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,567,518"
50,Ethan Hotel Cilincing Plaza,4.0,(255),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 206,596"
51,Hotel 55 International,3.7,(84),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Room service', 'Full-service laundry']","IDR 152,720"
52,City Icon Residence,4.0,(660),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']",DEAL
53,Gold Coast PIK Bahama Sea View Apartments,4.7,(56),"['Free Wi-Fi', 'Free parking', 'Pool', 'Fitness centre', 'Kitchen in some rooms', 'Airport shuttle']",DEAL
54,favehotel Pasar Baru,4.3,"(1,901)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 293,656"
55,Grand Kamala Lagoon Kawasan Super Blok,4.6,(681),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Fitness centre']","IDR 129,600"
56,OYO 3735 Liv Hotel,4.2,(182),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",DEAL
57,Sawana Suites,4.2,(979),"['Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 405,186"
58,Hotel Zia Sanno Jakarta - Pluit,3.9,"(1,015)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 336,941"
59,MAXWELL Hotel Jakarta,4.2,"(1,223)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 305,996"
60,favehotel PGC Cililitan,4.3,"(10,550)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 294,875"
61,DiscoveryAncol,4.3,"(3,727)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 614,026"
