Name,Class,Rating,Total Rater,Facility,Price,Area
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
OYO 277 Rukotel,2-star hotel,4.1,(651),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Surabaya
Nugraha Homestay,2-star hotel,4.2,(211),['Free Wi-Fi'],0,Surabaya
OYO 450 Semampir Residence,2-star hotel,4.1,(230),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 119,027",Surabaya
Airy Ahmad Yani Ketintang Baru Dua 12 Surabaya,2-star hotel,4.3,(143),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Accessible', 'Child-friendly', 'Smoke-free property']",0,Surabaya
RedDoorz @ Raya Ngagel 2,2-star hotel,3.4,(109),"['Free Wi-Fi', 'Child-friendly']","IDR 140,772",Surabaya
Airy Rungkut Medokan Ayu Dua Blok S 1 Surabaya,2-star hotel,4.5,(29),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly', 'Smoke-free property']",0,Surabaya
Airy Eco Syariah Sukomanunggal Darmo Permai Timur Dua 72 Surabaya,2-star hotel,4,(98),"['Free Wi-Fi', 'Parking', 'Child-friendly']",0,Surabaya
OYO 138 Graha 99,2-star hotel,4.2,(154),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Surabaya
OYO 1986 Airdas,2-star hotel,3.5,(76),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Surabaya
Airy Eco Syariah Wonokromo Karangrejo Sawah Surabaya,2-star hotel,4.2,(364),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Smoke-free property']",0,Surabaya
Airy Eco Syariah Manunggal Kebonsari Blok B 9 Surabaya,2-star hotel,3.7,(124),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Parking', 'Restaurant', 'Room service', 'Smoke-free property']",0,Surabaya
ibis Surabaya Rajawali,2-star hotel,4,(326),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']",0,Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
KANWA Residence,2-star hotel,4.2,(78),"['Free Wi-Fi', 'Air conditioning', 'Airport shuttle', 'Full-service laundry']","IDR 168,730",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 72,188",Surabaya
Hotel Tanjung Surabaya,2-star hotel,3.5,(523),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 151,602",Surabaya
OYO Flagship 2261 Pp Properti Pavilion Permata,2-star hotel,3.6,(114),"['Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Full-service laundry']","IDR 126,087",Surabaya
Frank's Hotel,2-star hotel,4.1,(400),"['Free Wi-Fi', 'Free parking', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 260,000",Surabaya
Collection O 29 Twin Tower,2-star hotel,4.2,(249),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Room service', 'Full-service laundry']",0,Surabaya
RedDoorz @ Panglima Sudirman,2-star hotel,4.1,(285),"['Free Wi-Fi', 'Full-service laundry']","IDR 113,097",Surabaya
Metro Hotel,2-star hotel,4,(342),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 156,750",Surabaya
Graha Deanofa Syariah,2-star hotel,4.1,(193),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 113,432",Surabaya
OYO Hotel Istana Permata Juanda,2-star hotel,3.5,(35),"['Free Wi-Fi', 'Pool']","IDR 162,280",Surabaya
