Nama,Class,Rating,Total Rater,Facility,Price
Green Apple Residence RedPartner,2-star hotel,4.1,(164),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 135,555"
Hotel Mustika Senen,2-star hotel,3.9,(463),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 239,002"
N1 Hotel Tanah Abang,2-star hotel,3.8,(873),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 145,350"
LeGreen Suite Penjernihan,2-star hotel,4.2,(453),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 276,420"
RedDoorz @ Pangeran Antasari 2,2-star hotel,3.8,(342),"['Wi-Fi', 'Full-service laundry']","IDR 105,397"
Mendjangan Kuningan Residence,2-star hotel,4.3,(85),"['Free Wi-Fi', 'Parking']","IDR 317,189"
Plaza 68,2-star hotel,4.3,(420),"['Free Wi-Fi', 'Free parking', 'Full-service laundry']","IDR 214,319"
Hotel California jakarta,2-star hotel,3.9,(554),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
G7 Hotel New Market,2-star hotel,4.3,(546),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 263,909"
K-Style Eco Hotel Jakarta,2-star hotel,4,(214),"['Free Wi-Fi', 'Parking', 'Air conditioning']","IDR 131,281"
OYO 297 45 Residence,2-star hotel,4.1,(337),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 94,970"
SPOT ON 3155 Penginapan Banyu Biru Syariah,2-star hotel,3.6,(220),"['Free Wi-Fi', 'Air conditioning']","IDR 64,356"
City Biz Residence,2-star hotel,3.9,(209),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 131,634"
MK House SCBD,2-star hotel,4.3,(514),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 195,842"
New Priok Indah Syariah Hotel,2-star hotel,4.3,(235),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 137,157"
Kanto's Guest House,2-star hotel,4.3,(296),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']","IDR 159,310"
Tujutiga Suites,2-star hotel,4.5,(91),"['Free Wi-Fi', 'Air conditioning', 'Kitchen in some rooms', 'Child-friendly']","IDR 375,000"
Rumah Shinta Jakarta,2-star hotel,4.1,(475),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 270,727"
