No,Nama,Class,Rating,Rater,Facility,Price
38,"The Langham, Jakarta",5-star hotel,4.7,(790),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,366,000"
39,ibis Jakarta Senen,3-star hotel,4.3,"(2,673)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 377,246"
40,Akmani Hotel Jakarta,4-star hotel,4.2,"(2,883)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']",DEAL
41,Sari Pacific Jakarta,4-star hotel,4.5,"(8,544)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']",DEAL
42,favehotel Melawai,3-star hotel,4.2,"(2,482)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 315,858"
43,Mercure Jakarta Sabang,4-star hotel,4.4,"(5,097)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 854,133"
44,Ambhara Hotel,4-star hotel,4.3,"(5,710)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']",GREAT DEAL
45,Hotel NEO+ Kebayoran,3-star hotel,4.4,"(2,520)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 348,274"
46,POP! Hotel Kelapa Gading Jakarta,3-star hotel,4.2,"(1,880)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 324,715"
47,Hotel GranDhika Iskandarsyah,4-star hotel,4.5,"(5,256)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 576,709"
48,favehotel Pasar Baru,3-star hotel,4.3,"(1,901)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 292,862"
49,Millennium Hotel Sirih Jakarta,4-star hotel,4.5,"(9,539)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 576,358"
50,Morrissey Hotel,4-star hotel,4.6,"(4,483)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 1,002,763"
51,Hotel Rivoli Jakarta,3-star hotel,4.2,"(2,394)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 277,667"
52,Artotel Suites Mangkuluhur Jakarta,5-star hotel,4.4,"(4,722)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,219,520"
53,Park5 Simatupang,3-star hotel,4.5,"(3,326)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 470,488"
54,Red Planet Jakarta Pasar Baru,3-star hotel,4.3,"(3,037)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 248,796"
55,JS Luwansa,4-star hotel,4.5,"(7,792)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 898,768"
56,The Grove Suites,5-star hotel,4.5,"(2,841)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 905,283"
57,Sentral Cawang Hotel Jakarta,3-star hotel,4.4,"(5,086)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 292,761"
58,AONE Hotel Jakarta,4-star hotel,4.3,"(3,686)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 570,000"
59,Hotel Santika Taman Mini Indonesia Indah,3-star hotel,4.3,"(3,758)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 608,112"
60,Century Park,4-star hotel,4.5,"(10,212)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']",DEAL
61,Hotel Kartika Chandra,4-star hotel,4.3,"(6,269)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 472,730"
