No,Nama,Class,Rating,Rater,Facility,Price
267,Hotel Lautze Indah,2-star hotel,3.7,(658),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 215,063"
268,RedDoorz near Hayam Wuruk,2-star hotel,3.2,(745),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 94,941"
269,Uptown residence Pondok Pinang Jakarta Selatan,2-star hotel,3.7,(158),"['Free Wi-Fi', 'Free parking']","IDR 100,480"
270,RedDoorz near Mangga Dua Square,2-star hotel,3.4,(64),"['Free Wi-Fi', 'Free parking']",GREAT DEAL
271,RedDoorz @ Pangeran Antasari 2,2-star hotel,3.8,(342),"['Wi-Fi', 'Full-service laundry']","IDR 105,397"
272,K-Style Eco Hotel Jakarta,2-star hotel,4.0,(214),"['Free Wi-Fi', 'Parking', 'Air conditioning']","IDR 147,938"
273,RedDoorz Plus @ Jalan Pemuda Jakarta,3-star hotel,3.7,(496),"['Free Wi-Fi', 'Child-friendly']","IDR 100,740"
274,Puri Saras Bintaro Syariah,2-star hotel,4.0,(350),"['Wi-Fi', 'Air conditioning', 'Full-service laundry']",DEAL
275,RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,137"
276,Hotel Ro & Vi Boutique,3-star hotel,3.8,(498),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service']","IDR 166,005"
277,New Priok Indah Syariah Hotel,2-star hotel,4.3,(235),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 137,157"
278,SPOT ON 3155 Penginapan Banyu Biru Syariah,2-star hotel,3.6,(220),"['Free Wi-Fi', 'Air conditioning']","IDR 64,356"
279,Wisma Gading Indah (WGI),3-star hotel,4.0,(852),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 99,202"
280,cityvilla,2-star hotel,3.9,(240),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 249,881"
281,RedDoorz Plus @ Kapuk Business Park,3-star hotel,3.6,(966),"['Free Wi-Fi', 'Room service']","IDR 141,705"
282,Ethan Hotel Cilincing Plaza,5-star hotel,4.0,(255),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 206,167"
283,Big Hotel Jakarta,3-star hotel,4.7,(7),"['Free Wi-Fi', 'Free parking']",0
284,MK House SCBD,2-star hotel,4.3,(514),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 195,842"
285,Gracelil Mulia Abadi. PT ( My Hotel ),2-star hotel,4.0,(318),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 152,209"
286,OYO 137 Permata Tawakal,2-star hotel,4.0,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 103,592"
287,City Biz Residence,2-star hotel,3.9,(209),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 131,634"
288,Hotel Al-Hakim,3-star hotel,3.9,(508),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
289,N1 Hotel Tanah Abang,2-star hotel,3.8,(873),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 145,350"
