,0,1,2,3,4
54,Luminor,4.4,"(3,899)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 449,668"
55,1O1 URBAN Jakarta Kelapa Gading (The BnB),4.3,"(3,264)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 300,016"
56,Juno Tanah Abang Jakarta,4.4,"(2,544)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 407,879"
57,GrandG7 Hotel,4.4,"(1,372)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 366,524"
58,favehotel Puri Indah,4.4,"(3,660)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 361,989"
59,"Holiday Inn Express Jakarta International Expo, an IHG Hotel",4.4,"(2,284)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Accessible']","IDR 733,533"
60,"Holiday Inn Express Jakarta Matraman, an IHG Hotel",4.6,"(1,576)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Accessible', 'Child-friendly']","IDR 512,438"
61,Swiss-Belinn Kemayoran,4.4,"(4,649)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 476,000"
62,Grand Picasso Hotel,4.4,(936),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 360,712"
63,Swiss-Belinn Airport Jakarta,4.3,"(3,024)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 460,275"
64,Ana Hotel,4.3,"(1,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 408,062"
65,Oria Hotel,4.3,"(2,024)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 444,857"
66,Jambuluwuk Thamrin Hotel,4.5,(565),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 578,112"
67,Maven Fatmawati Hotel jakarta,4.0,(836),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 349,697"
68,Horison Falatehan Jakarta,4.1,"(1,807)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 271,481"
69,POP! Hotel Pasar Baru Jakarta,4.4,"(2,171)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 303,455"
70,LUMINOR HOTEL KOTA,4.5,"(1,775)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 525,000"
71,Cabin Hotel,4.3,"(1,993)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 351,259"
72,Liberty Hotel Thamrin Jakarta,4.4,(851),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 409,634"
73,Royal City Hotel,4.1,(660),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 222,300"
74,F Hotel,4.4,(542),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 354,936"
75,Orchardz Hotel,4.4,"(4,240)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 422,614"
76,Hotel Monopoli,4.3,"(1,476)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 505,091"
77,"La Boheme, Rooms and Coffee",4.5,(863),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 450,963"
78,"Sparks Life, ARTOTEL Curated - Jakarta",4.2,"(1,291)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 222,661"
79,"Treehouse Suites at Kuningan, Jakarta",4.6,(224),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in rooms', 'Full-service laundry']","IDR 654,063"
80,Hotel 88 Mangga Besar 62,4.2,"(1,779)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 289,607"
81,Sofyan Hotel Soepomo,4.3,"(2,821)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 238,714"
82,favehotel Zainul Arifin,4.3,"(1,718)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 316,947"
83,"Holiday Inn Express Jakarta Pluit Citygate, an IHG Hotel",4.3,"(2,107)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Room service', 'Accessible', 'Business centre']","IDR 615,724"
84,Verse Lite Hotel Gajah Mada,4.1,"(1,186)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 258,702"
85,Lynt,4.2,(888),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 229,165"
86,Hotel Alia Cikini,4.4,(104),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Room service']","IDR 450,000"
87,Hotel 88 Grogol,4.2,"(1,620)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 250,029"
88,"Holiday Inn Express Jakarta Wahid Hasyim, an IHG Hotel",4.4,"(2,570)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 542,552"
89,Ghurfati Hotel,4.2,(655),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 111,110"
90,Hotel Kuretakeso Kemang,4.5,"(1,245)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 462,150"
91,Hotel Daily Inn,4.4,"(1,450)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 332,464"
92,favehotel Pluit Junction,4.2,(789),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 351,721"
93,Dreamtel Hotel Jakarta,4.1,"(1,718)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 327,021"
94,Tendean Residences,4.5,(728),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 293,930"
95,Rasuna Icon Hotel,4.3,"(1,330)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 313,169"
96,Liberta Hotel Kemang,4.1,"(2,449)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 296,979"
97,SOTIS HOTEL FALATEHAN JAKARTA,4.3,"(1,106)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 328,578"
98,Capital O 126 Business Hotel,3.9,"(1,179)","['Free Wi-Fi', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 197,477"
99,Arcadia Mangga Dua by Horison,4.1,"(2,718)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 599,118"
100,Teraskita Hotel Jakarta Managed by Dafam,4.4,"(6,422)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 468,843"
101,RUMANAMI,4.3,(146),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Full-service laundry', 'Business centre']",DEAL
102,Sriwijaya Hotel,4.2,"(1,789)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 402,775"
103,Best Western Mangga Dua Hotel & Residence,4.3,"(2,584)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Spa']",0
104,Kyriad Metro Kebayoran,4.4,"(1,389)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 312,682"
105,J hotel @Bandara Soekarno Hatta,4.2,"(1,946)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 296,513"
