Name,Class,Rating,Total Rater,Facility,Price,Area
The Posters Hotel Mice,2-star hotel,4.1,"(2,115)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 196,539",Bandung
OYO 3209 Hegarbudhi Residence,2-star hotel,4.7,(101),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 134,183",Bandung
Bumi Sawunggaling Hotel,2-star hotel,4.2,(684),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in rooms', 'Full-service laundry']","IDR 348,770",Bandung
Zodiak Kebonjati Hotel Bandung,2-star hotel,3.6,(501),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 324,000",Bandung
OYO 249 Hotel Astria Graha,2-star hotel,4,(947),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 129,989",Bandung
OYO 196 Horizone Residence,2-star hotel,4.1,(283),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 110,296",Bandung
Tulip Guest House,2-star hotel,4.5,(782),"['Free Wi-Fi', 'Parking', 'Child-friendly']","IDR 356,390",Bandung
OYO 3822 Mine Home,2-star hotel,4.3,(314),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 217,637",Bandung
Hotel Paniisan,2-star hotel,4.1,(203),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 397,353",Bandung
OYO 3955 Hotel Bumi Kitri Pramuka,2-star hotel,3.9,"(1,012)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 95,481",Bandung
Hotel Alqueby,2-star hotel,4.3,"(1,212)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,464",Bandung
