Name,Class,Rating,Total Rater,Facility,Price,Area
Sotis Residence Pejompongan,2-star hotel,4.3,"(1,305)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,600",Jakarta
Hotel Gren Alia Cikini,2-star hotel,4.3,"(2,794)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 440,151",Jakarta
LeGreen Suite Kuningan,2-star hotel,4.1,(629),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,317",Jakarta
Cengkareng Transit Hotel,2-star hotel,4,"(1,096)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 312,306",Jakarta
Shakti,2-star hotel,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 255,000",Jakarta
Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 406,611",Jakarta
Shakti,2-star hotel,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 255,000",Jakarta
Hotel Maxim,2-star hotel,3.7,(580),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 135,500",Jakarta
Grandboutique-Inn,2-star hotel,4,(89),"['Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 299,213",Jakarta
Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 406,611",Jakarta
