Name,Class,Rating,Total Rater,Facility,Price,Area
Tan Jokteng Garden Guesthouse,2-star hotel,4.4,(59),['Free Wi-Fi'],"IDR 98,344",Jogjakarta
Airlangga Hotel Prawirotaman,2-star hotel,4.1,(627),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 253,151",Jogjakarta
Hotel Orlen Yogyakarta,2-star hotel,4.2,(57),"['Free Wi-Fi', 'Restaurant', 'Airport shuttle']","IDR 311,850",Jogjakarta
Grand Marto Hotel,2-star hotel,4.3,(264),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 244,801",Jogjakarta
OYO 2627 Ratamya Co-living,2-star hotel,4.3,(128),"['Free Wi-Fi', 'Air conditioning']","IDR 223,168",Jogjakarta
Nextdoor Homestay,2-star hotel,4.6,(325),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 452,880",Jogjakarta
Hotel Grha Somaya,2-star hotel,4.1,(385),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 220,037",Jogjakarta
Aliya Homestay,2-star hotel,4.3,(180),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 160,057",Jogjakarta
OGH Doni Hotel,2-star hotel,2.7,(598),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 173,555",Jogjakarta
House of Moedjito,2-star hotel,4.5,(168),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 483,367",Jogjakarta
Kampung Lawasan Heritage Cottage,2-star hotel,4.6,(594),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 511,639",Jogjakarta
Hotel Kristina,2-star hotel,4.1,(366),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 681,264",Jogjakarta
Kampung Lawasan Heritage Cottage,2-star hotel,4.6,(594),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 511,639",Jogjakarta
Maranatha Grand Hotel Malioboro,2-star hotel,4.2,(460),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 365,513",Jogjakarta
Hotel Cristalit,2-star hotel,3.8,(230),"['Free breakfast', 'Wi-Fi', 'Pool', 'Air conditioning', 'Child-friendly']","IDR 178,831",Jogjakarta
Harmony Inn,2-star hotel,4.4,(266),"['Free breakfast', 'Outdoor pool', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
The Packer Lodge,2-star hotel,4.5,(636),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 237,177",Jogjakarta
nDalem Eyang Dwijo,2-star hotel,4.5,(219),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 180,000",Jogjakarta
Red Doorz Near Plaza Ambarukmo,2-star hotel,3.8,(224),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 190,821",Jogjakarta
Bintang Agung Hotel,2-star hotel,4.1,(227),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 177,211",Jogjakarta
Hotel Dana,2-star hotel,4,(415),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 111,914",Jogjakarta
Wakeup Homestay,2-star hotel,4.4,(534),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant']",0,Jogjakarta
