,Name,Rating,Total Rater,Area,AirConditioner,Bar,Pool,Spa,FitenessCenter,Restaurant,HotTub,Price_IDR,hotelClass
179,Kanto's Guest House,4.3,(296),Jakarta,True,False,False,False,False,False,False,159310,2
180,Tujutiga Suites,4.5,(91),Jakarta,True,False,False,False,False,False,False,375000,2
181,Rumah Shinta Jakarta,4.1,(475),Jakarta,True,False,False,False,False,True,False,270727,2
182,favehotel Melawai,4.2,"(2,482)",Jakarta,True,False,False,False,False,True,False,315801,3
183,Sans Hotel Fiducia Kaji,3.9,(432),Jakarta,True,False,False,False,False,True,False,172125,3
184,B Shaw Hotel,4,(414),Jakarta,True,False,False,False,False,False,False,169290,3
185,D HOTEL,4.2,"(2,248)",Jakarta,True,False,False,False,False,True,False,242550,3
186,All Seasons Jakarta Thamrin,4.4,"(4,111)",Jakarta,True,True,False,True,True,True,False,626944,3
187,1O1 URBAN Jakarta Thamrin,4.3,"(4,260)",Jakarta,True,True,True,False,False,True,False,502667,3
188,Asyana Kemayoran Jakarta,4.3,"(2,672)",Jakarta,True,False,True,False,False,True,False,246409,3
189,Swiss-Belinn Simatupang,4.4,"(3,639)",Jakarta,True,False,True,True,True,True,False,526840,3
190,ARTOTEL Thamrin - Jakarta,4.4,"(3,832)",Jakarta,True,True,False,True,False,True,False,541562,3
191,ibis Jakarta Arcadia,4.2,"(1,613)",Jakarta,True,False,False,True,False,True,False,400048,3
192,Classic Hotel,4.3,"(4,978)",Jakarta,True,True,False,True,False,False,True,298880,3
193,OYO Townhouse 1 Hotel Salemba,4,(879),Jakarta,True,False,False,False,False,False,False,176065,3
194,Heef Hotel,4.3,"(1,414)",Jakarta,True,False,False,False,False,True,False,316306,3
195,The Gloria Suites Jakarta,3.4,(171),Jakarta,True,False,True,False,False,True,False,238743,3
196,Topaz Residence,4.3,(788),Jakarta,True,False,False,False,False,True,False,214258,3
197,Swiss-Belinn Wahid Hasyim,4.5,(535),Jakarta,True,True,False,False,False,True,False,497985,3
198,Triniti Hotel Jakarta,4.2,"(1,178)",Jakarta,True,False,False,True,False,True,False,311672,3
199,ibis Jakarta Senen,4.3,"(2,673)",Jakarta,True,False,False,False,False,True,False,334555,3
200,Hotel Rivoli Jakarta,4.2,"(2,394)",Jakarta,True,True,False,True,True,True,False,269352,3
201,favehotel Melawai,4.2,"(2,481)",Jakarta,True,False,False,False,False,True,False,315801,3
202,Oak Tree Hotel Jakarta,4,"(1,053)",Jakarta,True,False,False,False,False,True,False,263337,3
203,ibis Styles Jakarta Simatupang,4.6,"(1,382)",Jakarta,True,True,False,False,True,True,False,593107,3
204,Zuri Express Mangga Dua,4.6,"(3,562)",Jakarta,True,False,False,True,False,True,False,251407,3
205,Sentral Cawang Hotel Jakarta,4.4,"(5,086)",Jakarta,True,True,True,True,False,True,False,292709,3
206,Dequr,3.9,(460),Jakarta,True,False,False,False,False,True,False,123489,3
207,favehotel Pasar Baru,4.3,"(1,901)",Jakarta,True,False,False,False,False,True,False,292810,3
208,Maple Hotel Grogol,4.2,"(1,690)",Jakarta,True,True,False,False,False,True,False,229903,3
209,Tamarin Hotel Jakarta,4.3,"(2,773)",Jakarta,True,False,True,True,True,True,False,314579,3
210,Park5 Simatupang,4.5,"(3,326)",Jakarta,True,True,True,True,True,False,False,470488,3
211,ibis Styles Jakarta Sunter,4.4,"(3,378)",Jakarta,True,True,True,True,True,False,False,420933,3
212,Hotel NEO+ Kebayoran,4.4,"(2,521)",Jakarta,True,False,True,True,False,True,False,348212,3
213,Hotel Santika Taman Mini Indonesia Indah,4.3,"(3,758)",Jakarta,True,False,True,True,True,True,False,608004,3
214,Red Planet Jakarta Pasar Baru,4.3,"(3,037)",Jakarta,True,False,False,False,False,True,False,248752,3
215,POP! Hotel Kelapa Gading Jakarta,4.2,"(1,880)",Jakarta,True,False,False,False,False,True,False,324719,3
216,Titanium Express HomTel,4.2,(685),Jakarta,True,False,True,False,False,True,False,253816,3
217,Kaisar Hotel Jakarta,4.1,"(3,670)",Jakarta,True,True,False,True,False,True,True,328690,3
218,MAXWELL Hotel Jakarta,4.2,"(1,223)",Jakarta,True,False,False,True,True,True,False,302479,3
219,favehotel PGC Cililitan,4.3,"(10,550)",Jakarta,True,False,False,True,False,True,False,294025,3
220,Kaisar Hotel Jakarta,4.1,"(3,670)",Jakarta,True,True,False,True,False,True,True,328690,3
221,MAXWELL Hotel Jakarta,4.2,"(1,223)",Jakarta,True,False,False,True,True,True,False,302479,3
222,favehotel PGC Cililitan,4.3,"(10,550)",Jakarta,True,False,False,True,False,True,False,294025,3
223,Ozone Hotel,4.2,"(1,508)",Jakarta,True,False,False,False,False,True,False,618807,3
224,Blue Sky Hotel Petamburan,4.2,"(1,869)",Jakarta,True,False,False,True,True,True,False,409371,3
225,Verse Luxe Hotel Wahid Hasyim,4.2,"(2,101)",Jakarta,True,False,False,False,False,True,False,371004,3
226,Arosa Hotel Jakarta.,4.5,"(1,974)",Jakarta,True,False,False,False,False,True,False,452295,3
227,favehotel LTC Glodok,4.2,"(2,252)",Jakarta,True,False,False,True,False,True,False,247000,3
228,Luminor,4.4,"(3,899)",Jakarta,True,False,False,True,False,True,False,450103,3
229,YELLO Hotel Harmoni Jakarta,4.5,"(5,491)",Jakarta,True,True,False,False,True,True,False,437403,3
230,Juno Tanah Abang Jakarta,4.4,"(2,544)",Jakarta,True,False,False,False,False,True,False,392414,3
231,Amaris Hotel La Codefin Kemang,4.2,"(1,949)",Jakarta,True,False,False,False,False,True,False,289788,3
232,favehotel Puri Indah,4.4,"(3,660)",Jakarta,True,False,False,True,False,True,False,360019,3
233,Swiss-Belinn Airport Jakarta,4.3,"(3,024)",Jakarta,True,False,False,True,True,True,False,460275,3
234,Grand Picasso Hotel,4.4,(936),Jakarta,True,True,False,True,False,True,False,351057,3
235,City Icon Residence,4,(660),Jakarta,True,False,False,False,False,True,False,128096,3
236,U Stay Hotel Mangga Besar,4,"(1,933)",Jakarta,True,False,False,False,False,True,False,218402,3
237,GrandG7 Hotel,4.4,"(1,372)",Jakarta,True,False,False,True,False,True,False,366524,3
238,OYO Townhouse 2 Hotel Gunung Sahari,4.2,(755),Jakarta,True,False,True,False,False,True,False,188280,3
239,1O1 URBAN Jakarta Kelapa Gading (The BnB),4.3,"(3,264)",Jakarta,True,False,False,False,False,True,False,300016,3
240,Ana Hotel,4.3,"(1,142)",Jakarta,True,False,False,False,False,True,False,408062,3
241,Maven Fatmawati Hotel jakarta,4,(836),Jakarta,True,False,False,False,False,True,False,196301,3
242,"La Boheme, Rooms and Coffee",4.5,(864),Jakarta,True,False,False,False,False,True,False,425678,3
243,Swiss-Belinn Kemayoran,4.4,"(4,650)",Jakarta,True,False,True,True,True,True,False,476000,3
244,F Hotel,4.4,(542),Jakarta,True,False,False,False,False,True,False,354200,3
245,Oria Hotel,4.3,"(2,024)",Jakarta,True,False,False,False,False,True,False,447432,3
246,Hotel Monopoli,4.3,"(1,476)",Jakarta,True,True,True,False,True,True,False,504298,3
247,POP! Hotel Pasar Baru Jakarta,4.4,"(2,171)",Jakarta,True,False,False,False,False,True,False,303749,3
